Name,Period,Budget,Sales,ID,Email
vacation,2019-11,100.00,0.00,5407,cfloryiv@rcn.com
Miscellaneous,2018-11,0.00,61.00,5408,cfloryiv@rcn.com
Gas,2019-01,100.00,30.00,5409,cfloryiv@rcn.com
Credit Monitoring,2018-09,24.00,24.00,5410,cfloryiv@rcn.com
Friday Takeout,2018-11,200.00,226.00,5411,cfloryiv@rcn.com
Cash,2018-08,200.00,200.00,5412,cfloryiv@rcn.com
Therapy,2018-11,135.00,235.00,5413,cfloryiv@rcn.com
Education,2018-12,90.00,40.00,5414,cfloryiv@rcn.com
Cash,2018-09,200.00,100.00,5415,cfloryiv@rcn.com
Great Courses,2018-10,50.00,0.00,5416,cfloryiv@rcn.com
Cash,2019-01,200.00,200.00,5417,cfloryiv@rcn.com
Condo Fee,2019-01,300.00,315.00,5418,cfloryiv@rcn.com
Cleaning,2018-10,120.00,120.00,5419,cfloryiv@rcn.com
Auto Expenses,2019-01,50.00,169.00,5420,cfloryiv@rcn.com
Cable TV,2018-12,159.00,159.00,5421,cfloryiv@rcn.com
Cell Phone,2018-12,73.00,73.00,5422,cfloryiv@rcn.com
Electronics,2018-09,400.00,104.00,5423,cfloryiv@rcn.com
Kathy,2018-08,150.00,166.00,5424,cfloryiv@rcn.com
Laundry,2018-08,20.00,20.00,5425,cfloryiv@rcn.com
Charites,2018-11,100.00,120.00,5426,cfloryiv@rcn.com
Electric Bill,2018-09,100.00,116.00,5427,cfloryiv@rcn.com
Property Taxes,2018-10,150.00,150.00,5428,cfloryiv@rcn.com
Education,2018-09,90.00,30.00,5429,cfloryiv@rcn.com
Therapy,2018-10,135.00,135.00,5430,cfloryiv@rcn.com
Therapy,2019-01,135.00,135.00,5431,cfloryiv@rcn.com
Antivirus,2018-11,17.00,17.00,5432,cfloryiv@rcn.com
Medicine,2018-08,100.00,0.00,5433,cfloryiv@rcn.com
Cable TV,2019-01,159.00,159.00,5434,cfloryiv@rcn.com
Movies,2018-11,150.00,133.00,5435,cfloryiv@rcn.com
Auto Expenses,2018-12,50.00,50.00,5436,cfloryiv@rcn.com
Great Courses,2018-11,50.00,0.00,5437,cfloryiv@rcn.com
Therapy,2018-12,135.00,135.00,5438,cfloryiv@rcn.com
